ticker,title,comparison,ai_probability_yes,predicted_direction,resolved_outcome,result,source,predicted_temp_f,std_dev
KXHIGHLAX-26MAR18-T89,"Will the **high temp in LA** be >89° on Mar 18, 2026?",greater_than,77.1,YES,NO,LOSS,openmeteo_archive,96.08,9.54
KXHIGHLAX-26MAR18-T82,"Will the **high temp in LA** be <82° on Mar 18, 2026?",less_than,7.0,NO,NO,WIN,openmeteo_archive,96.08,9.54
KXHIGHLAX-26MAR17-T90,"Will the **high temp in LA** be >90° on Mar 17, 2026?",greater_than,74.05,YES,YES,WIN,openmeteo_archive,98.24,12.78
KXHIGHLAX-26MAR17-T83,"Will the **high temp in LA** be <83° on Mar 17, 2026?",less_than,11.65,NO,NO,WIN,openmeteo_archive,98.24,12.78
KXHIGHLAX-26MAR16-T86,"Will the **high temp in LA** be >86° on Mar 16, 2026?",greater_than,67.34,YES,NO,LOSS,openmeteo_archive,91.04,11.22
KXHIGHLAX-26MAR16-T79,"Will the **high temp in LA** be <79° on Mar 16, 2026?",less_than,14.16,NO,YES,LOSS,openmeteo_archive,91.04,11.22
KXHIGHLAX-26MAR15-T79,"Will the **high temp in LA** be >79° on Mar 15, 2026?",greater_than,65.51,YES,NO,LOSS,openmeteo_archive,82.4,8.52
KXHIGHLAX-26MAR15-T72,"Will the **high temp in LA** be <72° on Mar 15, 2026?",less_than,11.11,NO,YES,LOSS,openmeteo_archive,82.4,8.52
KXHIGHLAX-26MAR14-T79,"Will the **high temp in LA** be >79° on Mar 14, 2026?",greater_than,72.2,YES,NO,LOSS,openmeteo_archive,83.84,8.22
KXHIGHLAX-26MAR14-T72,"Will the **high temp in LA** be <72° on Mar 14, 2026?",less_than,7.49,NO,NO,WIN,openmeteo_archive,83.84,8.22
KXHIGHLAX-26MAR13-T88,"Will the **high temp in LA** be >88° on Mar 13, 2026?",greater_than,63.58,,NO,NO_SIGNAL,openmeteo_archive,92.48,12.9
KXHIGHLAX-26MAR13-T81,"Will the **high temp in LA** be <81° on Mar 13, 2026?",less_than,18.68,NO,NO,WIN,openmeteo_archive,92.48,12.9
KXHIGHLAX-26MAR12-T92,"Will the **high temp in LA** be >92° on Mar 12, 2026?",greater_than,49.27,,NO,NO_SIGNAL,openmeteo_archive,91.76,13.14
KXHIGHLAX-26MAR12-T85,"Will the **high temp in LA** be <85° on Mar 12, 2026?",less_than,30.35,NO,YES,LOSS,openmeteo_archive,91.76,13.14
KXHIGHLAX-26MAR11-T77,"Will the **high temp in LA** be >77° on Mar 11, 2026?",greater_than,53.34,,NO,NO_SIGNAL,openmeteo_archive,77.72,8.58
KXHIGHLAX-26MAR11-T70,"Will the **high temp in LA** be <70° on Mar 11, 2026?",less_than,18.41,NO,YES,LOSS,openmeteo_archive,77.72,8.58
KXHIGHLAX-26MAR10-T72,"Will the **high temp in LA** be >72° on Mar 10, 2026?",greater_than,45.77,,NO,NO_SIGNAL,openmeteo_archive,71.42,5.46
KXHIGHLAX-26MAR10-T65,"Will the **high temp in LA** be <65° on Mar 10, 2026?",less_than,11.98,NO,NO,WIN,openmeteo_archive,71.42,5.46
KXHIGHLAX-26MAR09-T74,"Will the **high temp in LA** be >74° on Mar 9, 2026?",greater_than,48.55,,NO,NO_SIGNAL,openmeteo_archive,73.76,6.6
KXHIGHLAX-26MAR09-T67,"Will the **high temp in LA** be <67° on Mar 9, 2026?",less_than,15.29,NO,NO,WIN,openmeteo_archive,73.76,6.6
KXHIGHLAX-26MAR08-T91,"Will the **high temp in LA** be >91° on Mar 8, 2026?",greater_than,42.91,,NO,NO_SIGNAL,openmeteo_archive,89.06,10.86
KXHIGHLAX-26MAR08-T84,"Will the **high temp in LA** be <84° on Mar 8, 2026?",less_than,32.06,NO,NO,WIN,openmeteo_archive,89.06,10.86
KXHIGHLAX-26MAR07-T85,"Will the **high temp in LA** be >85° on Mar 7, 2026?",greater_than,17.1,NO,NO,WIN,openmeteo_archive,77.36,8.04
KXHIGHLAX-26MAR07-T78,"Will the **high temp in LA** be <78° on Mar 7, 2026?",less_than,53.17,,NO,NO_SIGNAL,openmeteo_archive,77.36,8.04
KXHIGHLAX-26MAR06-T76,"Will the **high temp in LA** be >76° on Mar 6, 2026?",greater_than,53.65,,NO,NO_SIGNAL,openmeteo_archive,76.82,8.94
KXHIGHLAX-26MAR06-T69,"Will the **high temp in LA** be <69° on Mar 6, 2026?",less_than,19.09,NO,NO,WIN,openmeteo_archive,76.82,8.94
KXHIGHLAX-26MAR05-T75,"Will the **high temp in LA** be >75° on Mar 5, 2026?",greater_than,49.09,,YES,NO_SIGNAL,openmeteo_archive,74.84,7.02
KXHIGHLAX-26MAR05-T68,"Will the **high temp in LA** be <68° on Mar 5, 2026?",less_than,16.49,NO,NO,WIN,openmeteo_archive,74.84,7.02
KXHIGHLAX-26MAR04-T71,"Will the **high temp in LA** be >71° on Mar 4, 2026?",greater_than,51.46,,NO,NO_SIGNAL,openmeteo_archive,71.24,6.54
KXHIGHLAX-26MAR04-T64,"Will the **high temp in LA** be <64° on Mar 4, 2026?",less_than,13.41,NO,NO,WIN,openmeteo_archive,71.24,6.54
KXHIGHLAX-26MAR03-T74,"Will the **high temp in LA** be >74° on Mar 3, 2026?",greater_than,44.32,,NO,NO_SIGNAL,openmeteo_archive,73.04,6.72
KXHIGHLAX-26MAR03-T67,"Will the **high temp in LA** be <67° on Mar 3, 2026?",less_than,18.44,NO,NO,WIN,openmeteo_archive,73.04,6.72
KXHIGHLAX-26MAR02-T73,"Will the **high temp in LA** be >73° on Mar 2, 2026?",greater_than,57.19,,NO,NO_SIGNAL,openmeteo_archive,74.12,6.18
KXHIGHLAX-26MAR02-T66,"Will the **high temp in LA** be <66° on Mar 2, 2026?",less_than,9.44,NO,YES,LOSS,openmeteo_archive,74.12,6.18
KXHIGHLAX-26MAR01-T78,"Will the **high temp in LA** be >78° on Mar 1, 2026?",greater_than,73.79,YES,NO,LOSS,openmeteo_archive,83.12,8.04
KXHIGHLAX-26MAR01-T71,"Will the **high temp in LA** be <71° on Mar 1, 2026?",less_than,6.58,NO,NO,WIN,openmeteo_archive,83.12,8.04
KXHIGHLAX-26FEB28-T80,"Will the **high temp in LA** be >80° on Feb 28, 2026?",greater_than,76.25,YES,NO,LOSS,openmeteo_archive,86.0,8.4
KXHIGHLAX-26FEB28-T73,"Will the **high temp in LA** be <73° on Feb 28, 2026?",less_than,6.09,NO,NO,WIN,openmeteo_archive,86.0,8.4
KXHIGHLAX-26FEB27-T83,"Will the **high temp in LA** be >83° on Feb 27, 2026?",greater_than,63.62,,YES,NO_SIGNAL,openmeteo_archive,86.72,10.68
KXHIGHLAX-26FEB27-T76,"Will the **high temp in LA** be <76° on Feb 27, 2026?",less_than,15.78,NO,NO,WIN,openmeteo_archive,86.72,10.68
KXHIGHLAX-26FEB26-T83,"Will the **high temp in LA** be >83° on Feb 26, 2026?",greater_than,46.72,,NO,NO_SIGNAL,openmeteo_archive,82.22,9.48
KXHIGHLAX-26FEB26-T76,"Will the **high temp in LA** be <76° on Feb 26, 2026?",less_than,25.59,NO,YES,LOSS,openmeteo_archive,82.22,9.48
KXHIGHLAX-26FEB25-T80,"Will the **high temp in LA** be >80° on Feb 25, 2026?",greater_than,29.25,NO,NO,WIN,openmeteo_archive,76.1,7.14
KXHIGHLAX-26FEB25-T73,"Will the **high temp in LA** be <73° on Feb 25, 2026?",less_than,33.21,NO,YES,LOSS,openmeteo_archive,76.1,7.14
KXHIGHLAX-26FEB24-T76,"Will the **high temp in LA** be >76° on Feb 24, 2026?",greater_than,49.53,,NO,NO_SIGNAL,openmeteo_archive,75.92,6.84
KXHIGHLAX-26FEB24-T69,"Will the **high temp in LA** be <69° on Feb 24, 2026?",less_than,15.58,NO,NO,WIN,openmeteo_archive,75.92,6.84
KXHIGHLAX-26FEB23-T78,"Will the **high temp in LA** be >78° on Feb 23, 2026?",greater_than,47.01,,NO,NO_SIGNAL,openmeteo_archive,77.18,10.92
KXHIGHLAX-26FEB23-T71,"Will the **high temp in LA** be <71° on Feb 23, 2026?",less_than,28.57,NO,NO,WIN,openmeteo_archive,77.18,10.92
KXHIGHLAX-26FEB22-T74,"Will the **high temp in LA** be >74° on Feb 22, 2026?",greater_than,39.53,,NO,NO_SIGNAL,openmeteo_archive,71.42,9.72
KXHIGHLAX-26FEB22-T67,"Will the **high temp in LA** be <67° on Feb 22, 2026?",less_than,32.47,NO,NO,WIN,openmeteo_archive,71.42,9.72
KXHIGHLAX-26FEB21-T73,"Will the **high temp in LA** be >73° on Feb 21, 2026?",greater_than,22.2,NO,NO,WIN,openmeteo_archive,66.02,9.12
KXHIGHLAX-26FEB21-T66,"Will the **high temp in LA** be <66° on Feb 21, 2026?",less_than,49.91,,NO,NO_SIGNAL,openmeteo_archive,66.02,9.12
KXHIGHLAX-26FEB20-T63,"Will the **high temp in LA** be >63° on Feb 20, 2026?",greater_than,26.12,NO,NO,WIN,openmeteo_archive,58.28,7.38
KXHIGHLAX-26FEB20-T56,"Will the **high temp in LA** be <56° on Feb 20, 2026?",less_than,37.87,,NO,NO_SIGNAL,openmeteo_archive,58.28,7.38
KXHIGHLAX-26FEB19-T64,"Will the **high temp in LA** be >64° on Feb 19, 2026?",greater_than,2.02,NO,NO,WIN,openmeteo_archive,55.76,4.02
KXHIGHLAX-26FEB19-T57,"Will the **high temp in LA** be <57° on Feb 19, 2026?",less_than,62.11,,NO,NO_SIGNAL,openmeteo_archive,55.76,4.02
KXHIGHLAX-26FEB18-T62,"Will the **high temp in LA** be >62° on Feb 18, 2026?",greater_than,15.45,NO,NO,WIN,openmeteo_archive,58.46,3.48
KXHIGHLAX-26FEB18-T55,"Will the **high temp in LA** be <55° on Feb 18, 2026?",less_than,16.0,NO,NO,WIN,openmeteo_archive,58.46,3.48
KXHIGHLAX-26FEB17-T66,"Will the **high temp in LA** be >66° on Feb 17, 2026?",greater_than,3.86,NO,NO,WIN,openmeteo_archive,59.0,3.96
KXHIGHLAX-26FEB17-T59,"Will the **high temp in LA** be <59° on Feb 17, 2026?",less_than,50.0,,NO,NO_SIGNAL,openmeteo_archive,59.0,3.96
KXHIGHLAX-26FEB16-T65,"Will the **high temp in LA** be >65° on Feb 16, 2026?",greater_than,0.0,NO,NO,WIN,openmeteo_archive,55.04,2.28
KXHIGHLAX-26FEB16-T58,"Will the **high temp in LA** be <58° on Feb 16, 2026?",less_than,90.29,YES,NO,LOSS,openmeteo_archive,55.04,2.28
KXHIGHLAX-26FEB15-T69,"Will the **high temp in LA** be >69° on Feb 15, 2026?",greater_than,9.2,NO,NO,WIN,openmeteo_archive,63.5,4.14
KXHIGHLAX-26FEB15-T62,"Will the **high temp in LA** be <62° on Feb 15, 2026?",less_than,35.86,,NO,NO_SIGNAL,openmeteo_archive,63.5,4.14
KXHIGHLAX-26FEB14-T69,"Will the **high temp in LA** be >69° on Feb 14, 2026?",greater_than,30.4,NO,NO,WIN,openmeteo_archive,66.2,5.46
KXHIGHLAX-26FEB14-T62,"Will the **high temp in LA** be <62° on Feb 14, 2026?",less_than,22.09,NO,NO,WIN,openmeteo_archive,66.2,5.46
KXHIGHLAX-26FEB13-T73,"Will the **high temp in LA** be >73° on Feb 13, 2026?",greater_than,30.77,NO,NO,WIN,openmeteo_archive,68.72,8.52
KXHIGHLAX-26FEB13-T66,"Will the **high temp in LA** be <66° on Feb 13, 2026?",less_than,37.48,,NO,NO_SIGNAL,openmeteo_archive,68.72,8.52
KXHIGHLAX-26FEB12-T71,"Will the **high temp in LA** be >71° on Feb 12, 2026?",greater_than,19.49,NO,NO,WIN,openmeteo_archive,65.84,6.0
KXHIGHLAX-26FEB12-T64,"Will the **high temp in LA** be <64° on Feb 12, 2026?",less_than,37.95,,NO,NO_SIGNAL,openmeteo_archive,65.84,6.0
KXHIGHLAX-26FEB11-T69,"Will the **high temp in LA** be >69° on Feb 11, 2026?",greater_than,6.32,NO,NO,WIN,openmeteo_archive,63.68,3.48
KXHIGHLAX-26FEB11-T62,"Will the **high temp in LA** be <62° on Feb 11, 2026?",less_than,31.46,NO,NO,WIN,openmeteo_archive,63.68,3.48
KXHIGHLAX-26FEB10-T70,"Will the **high temp in LA** be >70° on Feb 10, 2026?",greater_than,4.43,NO,NO,WIN,openmeteo_archive,65.3,2.76
KXHIGHLAX-26FEB10-T63,"Will the **high temp in LA** be <63° on Feb 10, 2026?",less_than,20.23,NO,NO,WIN,openmeteo_archive,65.3,2.76
KXHIGHLAX-26FEB09-T81,"Will the **high temp in LA** be >81° on Feb 9, 2026?",greater_than,28.84,NO,NO,WIN,openmeteo_archive,76.28,8.46
KXHIGHLAX-26FEB09-T74,"Will the **high temp in LA** be <74° on Feb 9, 2026?",less_than,39.38,,NO,NO_SIGNAL,openmeteo_archive,76.28,8.46
KXHIGHLAX-26FEB08-T82,"Will the **high temp in LA** be >82° on Feb 8, 2026?",greater_than,48.16,,NO,NO_SIGNAL,openmeteo_archive,81.5,10.86
KXHIGHLAX-26FEB08-T75,"Will the **high temp in LA** be <75° on Feb 8, 2026?",less_than,27.47,NO,NO,WIN,openmeteo_archive,81.5,10.86
KXHIGHLAX-26FEB07-T75,"Will the **high temp in LA** be >75° on Feb 7, 2026?",greater_than,46.77,,NO,NO_SIGNAL,openmeteo_archive,74.3,8.64
KXHIGHLAX-26FEB07-T68,"Will the **high temp in LA** be <68° on Feb 7, 2026?",less_than,23.29,NO,NO,WIN,openmeteo_archive,74.3,8.64
KXHIGHLAX-26FEB06-T74,"Will the **high temp in LA** be >74° on Feb 6, 2026?",greater_than,17.94,NO,NO,WIN,openmeteo_archive,69.98,4.38
KXHIGHLAX-26FEB06-T67,"Will the **high temp in LA** be <67° on Feb 6, 2026?",less_than,24.81,NO,NO,WIN,openmeteo_archive,69.98,4.38
KXHIGHLAX-26FEB05-T84,"Will the **high temp in LA** be >84° on Feb 5, 2026?",greater_than,38.03,,NO,NO_SIGNAL,openmeteo_archive,80.6,11.16
KXHIGHLAX-26FEB05-T77,"Will the **high temp in LA** be <77° on Feb 5, 2026?",less_than,37.35,,NO,NO_SIGNAL,openmeteo_archive,80.6,11.16
KXHIGHLAX-26FEB04-T87,"Will the **high temp in LA** be >87° on Feb 4, 2026?",greater_than,41.9,,NO,NO_SIGNAL,openmeteo_archive,84.56,11.94
KXHIGHLAX-26FEB04-T80,"Will the **high temp in LA** be <80° on Feb 4, 2026?",less_than,35.13,,NO,NO_SIGNAL,openmeteo_archive,84.56,11.94
KXHIGHLAX-26FEB03-T81,"Will the **high temp in LA** be >81° on Feb 3, 2026?",greater_than,42.27,,NO,NO_SIGNAL,openmeteo_archive,78.8,11.28
KXHIGHLAX-26FEB03-T74,"Will the **high temp in LA** be <74° on Feb 3, 2026?",less_than,33.52,NO,NO,WIN,openmeteo_archive,78.8,11.28
KXHIGHLAX-26FEB02-T76,"Will the **high temp in LA** be >76° on Feb 2, 2026?",greater_than,45.54,,NO,NO_SIGNAL,openmeteo_archive,75.2,7.14
KXHIGHLAX-26FEB02-T69,"Will the **high temp in LA** be <69° on Feb 2, 2026?",less_than,19.26,NO,NO,WIN,openmeteo_archive,75.2,7.14
KXHIGHLAX-26FEB01-T79,"Will the **high temp in LA** be >79° on Feb 1, 2026?",greater_than,58.72,,NO,NO_SIGNAL,openmeteo_archive,81.5,11.34
KXHIGHLAX-26FEB01-T72,"Will the **high temp in LA** be <72° on Feb 1, 2026?",less_than,20.11,NO,NO,WIN,openmeteo_archive,81.5,11.34
KXHIGHLAX-26JAN31-T88,"Will the **high temp in LA** be >88° on Jan 31, 2026?",greater_than,28.66,NO,NO,WIN,openmeteo_archive,81.68,11.22
KXHIGHLAX-26JAN31-T81,"Will the **high temp in LA** be <81° on Jan 31, 2026?",less_than,47.58,,NO,NO_SIGNAL,openmeteo_archive,81.68,11.22
KXHIGHLAX-26JAN30-T86,"Will the **high temp in LA** be >86° on Jan 30, 2026?",greater_than,39.04,,NO,NO_SIGNAL,openmeteo_archive,82.76,11.64
KXHIGHLAX-26JAN30-T79,"Will the **high temp in LA** be <79° on Jan 30, 2026?",less_than,37.33,,NO,NO_SIGNAL,openmeteo_archive,82.76,11.64
